Period,Samsung,Huawei,Xiaomi,Apple,Oppo,Vivo,Others
2018Q1,7820000,3930000,2810000,5220000,2420000,1890000,121700
2018Q2,7150000,5420000,320000,4130000,2960000,2650000,1133000
2018Q3,7230000,520000,3330000,4690000,3390000,3050000,1109000
2018Q4,6980000,5970000,2560000,6590000,3130000,2650000,1158000
2019Q1,720000,5910000,2780000,420000,2570000,2390000,9053000
2019Q2,7630000,5660000,3230000,3650000,3060000,270000,9771000
2019Q3,7820000,6680000,3170000,4480000,3230000,3130000,9490000
2019Q4,7040000,5620000,3290000,7230000,3140000,3150000,1063700
2020Q1,5860000,490000,2970000,400000,2230000,2160000,7380000
2020Q2,5420000,5480000,2650000,3750000,2450000,2250000,5607000
2020Q3,8040000,5090000,4620000,4170000,3100000,3100000,8444000
2020Q4,7680030,5230000,5327000,6015000,3245000,2789000,1016800
